timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,IdleTime,Connect
1518027369653,3115,Eliminar,200,OK,Aqui Usuarios 1-29,text,true,,4357,591,35,35,3115,1,0,0,0
1518027369606,3607,Eliminar,200,OK,Aqui Usuarios 1-30,text,true,,4356,589,35,35,3607,1,0,0,0
1518027371848,1438,Page Login,200,OK,Aqui Usuarios 1-17,text,true,,5427,0,35,35,1438,1,0,0,0
1518027369784,3536,Eliminar,200,OK,Aqui Usuarios 1-33,text,true,,4357,591,35,35,3536,1,0,0,0
1518027371998,1393,Page Login,200,OK,Aqui Usuarios 1-18,text,true,,5427,0,35,35,1393,1,0,0,0
1518027372031,1610,Page Login,200,OK,Aqui Usuarios 1-14,text,true,,5428,0,35,35,1610,1,0,0,0
1518027372108,1601,Page Login,200,OK,Aqui Usuarios 1-13,text,true,,5428,0,35,35,1601,1,0,0,0
1518027372079,1630,Page Login,200,OK,Aqui Usuarios 1-21,text,true,,5428,0,35,35,1630,1,0,0,0
1518027372378,1435,Page Login,200,OK,Aqui Usuarios 1-25,text,true,,5427,0,35,35,1435,1,0,0,0
1518027369883,3979,Eliminar,200,OK,Aqui Usuarios 1-20,text,true,,4357,592,35,35,3979,1,0,0,0
1518027372398,1637,Page Login,200,OK,Aqui Usuarios 1-23,text,true,,5428,0,35,35,1637,1,0,0,0
1518027372478,1671,Page Login,200,OK,Aqui Usuarios 1-22,text,true,,5427,0,35,35,1671,1,0,0,0
1518027372515,1652,Page Login,200,OK,Aqui Usuarios 1-26,text,true,,5429,0,35,35,1652,1,0,0,0
1518027370022,4224,Eliminar,200,OK,Aqui Usuarios 1-31,text,true,,4358,591,35,35,4224,1,0,0,0
1518027372595,1652,Page Login,200,OK,Aqui Usuarios 1-32,text,true,,5428,0,35,35,1652,1,0,0,0
1518027372594,1690,Page Login,200,OK,Aqui Usuarios 1-28,text,true,,5428,0,35,35,1690,1,0,0,0
1518027372723,1657,Page Login,200,OK,Aqui Usuarios 1-24,text,true,,5428,0,35,35,1657,1,0,0,0
1518027372768,1693,Page Login,200,OK,Aqui Usuarios 1-29,text,true,,5428,0,35,35,1693,1,0,0,0
1518027370151,4342,Eliminar,200,OK,Aqui Usuarios 1-27,text,true,,4357,592,35,35,4342,1,0,0,0
1518027365721,9005,Autenticar,200,OK,Aqui Usuarios 1-2,text,true,,10615,0,35,35,4795,1,0,0,0
1518027373213,1746,Page Login,200,OK,Aqui Usuarios 1-30,text,true,,5427,0,35,35,1746,1,0,0,0
1518027367043,7919,Autenticar,200,OK,Aqui Usuarios 1-1,text,true,,10613,0,35,35,3911,1,0,0,0
1518027373321,1721,Page Login,200,OK,Aqui Usuarios 1-33,text,true,,5429,0,35,35,1721,1,0,0,0
1518027371560,3510,Eliminar,200,OK,Aqui Usuarios 1-35,text,true,,4357,591,35,35,3510,1,0,0,0
1518027371687,3552,Eliminar,200,OK,Aqui Usuarios 1-34,text,true,,4357,591,35,35,3552,1,0,0,0
1518027373862,1478,Page Login,200,OK,Aqui Usuarios 1-20,text,true,,5426,0,35,35,1478,1,0,0,0
1518027374246,1322,Page Login,200,OK,Aqui Usuarios 1-31,text,true,,5428,0,35,35,1322,1,0,0,0
1518027374493,1206,Page Login,200,OK,Aqui Usuarios 1-27,text,true,,5428,0,35,35,1206,1,0,0,0
1518027374726,1196,Page Insertar,200,OK,Aqui Usuarios 1-2,text,true,,6138,0,35,35,1196,1,0,0,0
1518027374962,1009,Page Insertar,200,OK,Aqui Usuarios 1-1,text,true,,6137,0,35,35,1009,1,0,0,0
1518027375070,1742,Page Login,200,OK,Aqui Usuarios 1-35,text,true,,5427,0,35,35,1742,1,0,0,0
1518027375239,1725,Page Login,200,OK,Aqui Usuarios 1-34,text,true,,5429,0,35,35,1725,1,0,0,0
1518027369910,7160,Autenticar,200,OK,Aqui Usuarios 1-4,text,true,,10611,0,35,35,4125,1,0,0,0
1518027370102,7226,Autenticar,200,OK,Aqui Usuarios 1-5,text,true,,10615,0,35,35,4241,1,0,0,0
1518027370459,7233,Autenticar,200,OK,Aqui Usuarios 1-3,text,true,,10611,0,35,35,4156,1,0,0,0
1518027370650,7115,Autenticar,200,OK,Aqui Usuarios 1-11,text,true,,10615,0,35,35,4130,1,0,0,0
1518027370299,7466,Autenticar,200,OK,Aqui Usuarios 1-6,text,true,,10613,0,35,35,4269,1,0,0,0
1518027370513,7444,Autenticar,200,OK,Aqui Usuarios 1-8,text,true,,10611,0,35,35,4168,1,0,0,0
1518027370953,7048,Autenticar,200,OK,Aqui Usuarios 1-9,text,true,,10609,0,35,35,3972,1,0,0,0
1518027371759,6349,Autenticar,200,OK,Aqui Usuarios 1-7,text,true,,10615,0,35,35,3480,1,0,0,0
1518027377071,1084,Page Insertar,200,OK,Aqui Usuarios 1-4,text,true,,6138,0,35,35,1084,1,0,0,0
1518027371794,6476,Autenticar,200,OK,Aqui Usuarios 1-10,text,true,,10615,0,35,35,3581,1,0,0,0
1518027377329,1036,Page Insertar,200,OK,Aqui Usuarios 1-5,text,true,,6138,0,35,35,1036,1,0,0,0
1518027371857,6644,Autenticar,200,OK,Aqui Usuarios 1-12,text,true,,10609,0,35,35,3598,1,0,0,0
1518027377691,842,Page Insertar,200,OK,Aqui Usuarios 1-3,text,true,,6138,0,35,35,842,1,0,0,0
1518027377764,805,Page Insertar,200,OK,Aqui Usuarios 1-11,text,true,,6139,0,35,35,805,1,0,0,0
1518027377764,870,Page Insertar,200,OK,Aqui Usuarios 1-6,text,true,,6138,0,35,35,870,1,0,0,0
1518027371912,6748,Autenticar,200,OK,Aqui Usuarios 1-15,text,true,,10615,0,35,35,3570,1,0,0,0
1518027377956,778,Page Insertar,200,OK,Aqui Usuarios 1-8,text,true,,6138,0,35,35,778,1,0,0,0
1518027378000,831,Page Insertar,200,OK,Aqui Usuarios 1-9,text,true,,6139,0,35,35,831,1,0,0,0
1518027372767,6237,Autenticar,200,OK,Aqui Usuarios 1-19,text,true,,10611,0,35,35,2820,1,0,0,0
1518027378107,989,Page Insertar,200,OK,Aqui Usuarios 1-7,text,true,,6139,0,35,35,989,1,0,0,0
1518027372627,6496,Autenticar,200,OK,Aqui Usuarios 1-16,text,true,,10613,0,35,35,2985,1,0,0,0
1518027378269,1012,Page Insertar,200,OK,Aqui Usuarios 1-10,text,true,,6138,0,35,35,1012,1,0,0,0
1518027373286,6059,Autenticar,200,OK,Aqui Usuarios 1-17,text,true,,10613,0,35,35,2449,1,0,0,0
1518027373641,5722,Autenticar,200,OK,Aqui Usuarios 1-14,text,true,,10613,0,35,35,2172,1,0,0,0
1518027373391,6051,Autenticar,200,OK,Aqui Usuarios 1-18,text,true,,10613,0,35,35,2450,1,0,0,0
1518027378500,972,Page Insertar,200,OK,Aqui Usuarios 1-12,text,true,,6137,0,35,35,972,1,0,0,0
1518027378659,887,Page Insertar,200,OK,Aqui Usuarios 1-15,text,true,,6138,0,35,35,887,1,0,0,0
1518027379003,574,Page Insertar,200,OK,Aqui Usuarios 1-19,text,true,,6138,0,35,35,574,1,0,0,0
1518027379122,516,Page Insertar,200,OK,Aqui Usuarios 1-16,text,true,,6137,0,35,35,516,1,0,0,0
1518027375922,3764,Insertar,200,OK,Aqui Usuarios 1-2,text,true,,6723,0,35,35,3764,1,0,0,0
1518027373709,6055,Autenticar,200,OK,Aqui Usuarios 1-21,text,true,,10726,0,35,35,2327,1,0,0,0
1518027375971,3861,Insertar,200,OK,Aqui Usuarios 1-1,text,true,,6723,0,35,35,3861,1,0,0,0
1518027379344,550,Page Insertar,200,OK,Aqui Usuarios 1-17,text,true,,6139,0,35,35,550,1,0,0,0
1518027379362,558,Page Insertar,200,OK,Aqui Usuarios 1-14,text,true,,6138,0,35,35,558,1,0,0,0
1518027373709,6214,Autenticar,200,OK,Aqui Usuarios 1-13,text,true,,10843,0,35,35,2326,1,0,0,0
1518027379441,562,Page Insertar,200,OK,Aqui Usuarios 1-18,text,true,,6138,0,35,35,562,1,0,0,0
1518027379685,410,Page Eliminar,200,OK,Aqui Usuarios 1-2,text,true,,3843,217,35,35,410,1,0,0,0
1518027373813,6320,Autenticar,200,OK,Aqui Usuarios 1-25,text,true,,10841,0,35,35,3123,1,0,0,0
1518027379832,404,Page Eliminar,200,OK,Aqui Usuarios 1-1,text,true,,3843,217,35,35,404,1,0,0,0
1518027379763,490,Page Insertar,200,OK,Aqui Usuarios 1-21,text,true,,6139,0,35,35,490,1,0,0,0
1518027379922,396,Page Insertar,200,OK,Aqui Usuarios 1-13,text,true,,6138,0,35,35,396,1,0,0,0
1518027374150,6666,Autenticar,200,OK,Aqui Usuarios 1-22,text,true,,10841,0,35,35,3014,1,0,0,0
1518027374037,6826,Autenticar,200,OK,Aqui Usuarios 1-23,text,true,,10841,0,35,35,3013,1,0,0,0
1518027380132,784,Page Insertar,200,OK,Aqui Usuarios 1-25,text,true,,6137,0,35,35,784,1,0,0,0
1518027374247,6719,Autenticar,200,OK,Aqui Usuarios 1-32,text,true,,10843,0,35,35,2918,1,0,0,0
1518027380815,219,Page Insertar,200,OK,Aqui Usuarios 1-22,text,true,,6138,0,35,35,219,1,0,0,0
1518027380862,216,Page Insertar,200,OK,Aqui Usuarios 1-23,text,true,,6138,0,35,35,216,1,0,0,0
1518027374167,6957,Autenticar,200,OK,Aqui Usuarios 1-26,text,true,,10845,0,35,35,3032,1,0,0,0
1518027380965,203,Page Insertar,200,OK,Aqui Usuarios 1-32,text,true,,6138,0,35,35,203,1,0,0,0
1518027374284,6964,Autenticar,200,OK,Aqui Usuarios 1-28,text,true,,10843,0,35,35,3000,1,0,0,0
1518027374380,6909,Autenticar,200,OK,Aqui Usuarios 1-24,text,true,,10843,0,35,35,3213,1,0,0,0
1518027381123,219,Page Insertar,200,OK,Aqui Usuarios 1-26,text,true,,6139,0,35,35,219,1,0,0,0
1518027374461,6949,Autenticar,200,OK,Aqui Usuarios 1-29,text,true,,10841,0,35,35,3211,1,0,0,0
1518027381247,212,Page Insertar,200,OK,Aqui Usuarios 1-28,text,true,,6137,0,35,35,212,1,0,0,0
1518027374959,6541,Autenticar,200,OK,Aqui Usuarios 1-30,text,true,,10841,0,35,35,3006,1,0,0,0
1518027375043,6478,Autenticar,200,OK,Aqui Usuarios 1-33,text,true,,10843,0,35,35,3063,1,0,0,0
1518027381289,281,Page Insertar,200,OK,Aqui Usuarios 1-24,text,true,,6139,0,35,35,281,1,0,0,0
1518027381410,291,Page Insertar,200,OK,Aqui Usuarios 1-29,text,true,,6138,0,35,35,291,1,0,0,0
1518027381500,263,Page Insertar,200,OK,Aqui Usuarios 1-30,text,true,,6137,0,35,35,263,1,0,0,0
1518027381521,257,Page Insertar,200,OK,Aqui Usuarios 1-33,text,true,,6137,0,35,35,257,1,0,0,0
1518027378154,3688,Insertar,200,OK,Aqui Usuarios 1-4,text,true,,6723,0,35,35,3688,1,0,0,0
1518027375340,6505,Autenticar,200,OK,Aqui Usuarios 1-20,text,true,,10956,0,35,35,2910,1,0,0,0
1518027381845,153,Page Insertar,200,OK,Aqui Usuarios 1-20,text,true,,6138,0,35,35,153,1,0,0,0
1518027381842,204,Page Eliminar,200,OK,Aqui Usuarios 1-4,text,true,,3843,217,35,35,204,1,0,0,1
1518027378365,3932,Insertar,200,OK,Aqui Usuarios 1-5,text,true,,6721,0,35,35,3932,1,0,0,0
1518027378533,3893,Insertar,200,OK,Aqui Usuarios 1-3,text,true,,6720,0,35,35,3893,1,0,0,0
1518027382298,154,Page Eliminar,200,OK,Aqui Usuarios 1-5,text,true,,3844,217,35,35,154,1,0,0,0
1518027378569,3942,Insertar,200,OK,Aqui Usuarios 1-11,text,true,,6722,0,35,35,3942,1,0,0,0
1518027378634,3939,Insertar,200,OK,Aqui Usuarios 1-6,text,true,,6722,0,35,35,3939,1,0,0,0
1518027382426,208,Page Eliminar,200,OK,Aqui Usuarios 1-3,text,true,,3843,217,35,35,208,1,0,0,1
1518027382511,174,Page Eliminar,200,OK,Aqui Usuarios 1-11,text,true,,3844,217,35,35,174,1,0,0,0
1518027378734,3999,Insertar,200,OK,Aqui Usuarios 1-8,text,true,,6721,0,35,35,3999,1,0,0,0
1518027382572,197,Page Eliminar,200,OK,Aqui Usuarios 1-6,text,true,,3841,217,35,35,197,1,0,0,0
1518027375568,7287,Autenticar,200,OK,Aqui Usuarios 1-31,text,true,,11533,0,35,35,3186,1,0,0,0
1518027378831,4107,Insertar,200,OK,Aqui Usuarios 1-9,text,true,,6722,0,35,35,4107,1,0,0,0
1518027382732,229,Page Eliminar,200,OK,Aqui Usuarios 1-8,text,true,,3841,217,35,35,229,1,0,0,1
1518027379096,3923,Insertar,200,OK,Aqui Usuarios 1-7,text,true,,6723,0,35,35,3923,1,0,0,0
1518027382854,187,Page Insertar,200,OK,Aqui Usuarios 1-31,text,true,,6137,0,35,35,187,1,0,0,0
